code,description
EFB,BODY
EFCAN,CANCELLATION
EFD,DOORS
EFDB,DISC BRAKES
EFHV,HIGH VOLTAGE
EFHVA,HEAT / VENT / AC
EFLV,LOW VOLTAGE
EFO,OTHER
EFP,PROPULSION
EFRA,RAMP ISSUES
EFT,TRUCKS
EFTB,TRACK BRAKES
MFCN,CLEANING
MFDV,ON DIVERSION
MFESA,NO OPERATOR AVAILABLE DUE TO ESA
MFFD,FARE DISPUTE
MFLD,LABOUR DISPUTE
MFO,OTHER
MFPI,COLLISION/PERSONAL INJURY - TTC NOT INVOLVED
MFPR,HELD BY PARADES/MARCHES
MFS,FIRE / SMOKE
MFSAN,UNSANITARY
MFSH,USED AS SHUTTLE BUS
MFTO,ILL OPERATOR & NON CHARGEABLE OPERATOR ISSUES
MFUI,ILL CUSTOMER - TRANSPORTED
MFUIR,ILL CUSTOMER - TRANSPORTATION DECLINED
MFUS,UNABLE TO MAINTAIN SCHEDULE
MFVIS,VISION ISSUES
MFWEA,WEATHER RELATED
PFO,OTHER
PFPD,TTC COLLISION - PROPERTY DAMAGE
SFAE,ASSAULT - EMPLOYEE
SFAP,ASSAULT - PATRON
SFBT,BOMB THREAT
SFDP,DISORDERLY PATRON
SFO,OTHER
SFPOL,HELD DUE TO POLICE INVESTIGATION
SFSA,ASSAULT - SEXUAL
SFSP,SUSPICIOUS PACKAGE
TFCNO,NO OPERATOR AVAILABLE
TFLF,LATE ENTERING SERVICE - FIRST VEHICLE
TFLL,LATE VEHICLE - ROUTE
TFO,OTHER - SWITCH VIOLATION
TFOI,ON BOARD INJURY
TFPD,TTC COLLISION - PROPERTY DAMAGE
TFPI,TTC COLLISION - PERSONAL INJURY
